Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
CF,7.742,20.318,72.96,94.0,99.0,2.95
CF,8.645,23.297,69.72,94.0,100.0,4.05
TD,14.326,19.668,87.0,51.0,33.0,8.32
CM,7.673,14.288,76.02,87.0,2.0,2.91
CF,8.559,23.33,69.72,94.0,100.0,4.05
CF,8.745,23.683,69.72,94.0,100.0,4.05
CF,7.594,20.676,72.96,94.0,99.0,2.95
CF,8.033,23.887,69.72,94.0,100.0,4.05
TD,15.856,14.987,91.86,40.0,76.0,7.14
TD,15.77,14.803,91.86,40.0,76.0,7.14
TD,15.865,14.763,91.86,40.0,76.0,7.14
TD,15.093,14.915,91.86,40.0,76.0,7.14
CF,11.753,22.844,76.02,84.0,31.0,5.95
NE,18.949,15.981,101.58,15.0,0.0,9.19
NE,18.424,15.608,101.58,15.0,0.0,9.19
NE,18.811,15.126,101.58,15.0,0.0,9.19
NE,18.215,15.034,101.58,15.0,0.0,9.19
SD,17.06,23.731,83.04,37.0,74.0,4.72
SD,17.277,23.162,83.04,37.0,74.0,4.72
SD,17.398,23.904,83.04,37.0,74.0,4.72
SD,17.106,23.913,83.04,37.0,74.0,4.72
SD,17.662,23.989,83.04,37.0,74.0,4.72
TD,14.655,19.094,87.0,51.0,33.0,8.32
TD,14.785,16.968,84.84,60.0,46.0,7.99
CF,9.371,21.575,72.96,94.0,99.0,2.95
CF,10.444,22.012,76.02,84.0,31.0,5.95
TD,9.876,16.92,77.1,84.0,100.0,4.45
TD,9.923,16.575,77.1,84.0,100.0,4.45
TD,8.976,17.984,84.2,74.0,20.0,6.93
TD,12.046,16.659,84.12,66.0,57.0,1.72
TD,15.624,15.13,91.86,40.0,76.0,7.14
TD,13.689,21.721,72.6,78.0,61.0,15.95
TD,13.135,21.737,72.6,78.0,61.0,15.95
TD,9.263,15.056,76.02,87.0,77.0,5.26
TD,14.003,19.676,87.0,51.0,33.0,8.32
TD,12.105,20.718,76.38,89.0,57.0,3.71
TD,12.223,20.307,76.38,89.0,57.0,3.71
TD,12.091,20.165,76.38,89.0,57.0,3.71
TD,13.129,21.822,72.6,78.0,61.0,15.95
TD,13.62,21.812,72.6,78.0,61.0,15.95
TD,13.89,21.737,72.6,78.0,61.0,15.95
TD,13.665,14.888,91.86,40.0,76.0,7.14
TD,13.752,14.512,91.86,40.0,76.0,7.14
CF,10.619,23.051,76.02,84.0,31.0,5.95
TD,10.141,17.083,77.1,84.0,100.0,4.45
TD,10.486,17.344,77.1,84.0,100.0,4.45
TD,10.001,17.169,77.1,84.0,100.0,4.45
TD,14.96,19.869,87.9,46.0,44.0,14.0
TD,7.893,16.671,74.22,91.0,75.0,3.8
CM,10.074,14.285,76.74,82.0,58.0,4.07
TD,7.799,16.844,74.22,91.0,75.0,3.8
CM,10.18,14.452,76.74,82.0,58.0,4.07
TD,7.798,16.64,74.22,91.0,75.0,3.8
TD,12.359,23.296,72.6,78.0,61.0,15.95
TD,12.356,23.509,72.6,78.0,61.0,15.95
TD,12.739,23.596,72.6,78.0,61.0,15.95
TD,12.378,23.635,72.6,78.0,61.0,15.95
TD,12.952,23.514,72.6,78.0,61.0,15.95
TD,12.686,23.285,72.6,78.0,61.0,15.95
CM,13.072,14.307,93.2,52.0,40.0,6.93
TD,16.894,22.459,87.9,46.0,44.0,14.0
TD,16.1,22.124,87.9,46.0,44.0,14.0
TD,11.873,17.83,79.44,75.0,58.0,1.63
TD,11.921,17.965,79.44,75.0,58.0,1.63
CF,7.751,19.964,72.96,94.0,99.0,2.95
CF,7.973,21.405,72.96,94.0,99.0,2.95
CF,8.197,22.032,69.72,94.0,100.0,4.05
CF,8.702,22.967,69.72,94.0,100.0,4.05
CF,8.073,22.849,69.72,94.0,100.0,4.05
CF,7.495,21.308,72.96,94.0,99.0,2.95
TD,15.426,15.754,91.86,40.0,76.0,7.14
TD,13.55,16.155,84.84,60.0,46.0,7.99
TD,13.952,16.556,84.84,60.0,46.0,7.99
TD,13.447,16.164,84.84,60.0,46.0,7.99
TD,15.96,15.167,91.86,40.0,76.0,7.14
TD,15.383,15.531,91.86,40.0,76.0,7.14
