Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
US,32.789,-88.2,89.69,55.0,1.0,3.36
US,43.19,-107.913,78.33,12.0,1.0,9.17
US,34.555,-105.733,90.91,13.0,40.0,6.93
US,46.121,-109.346,90.88,52.0,1.0,4.7
US,34.784,-109.77,87.94,12.0,1.0,14.99
US,30.408,-121.513,76.87,35.0,1.0,11.41
US,33.279,-96.702,96.31,30.0,5.0,11.41
US,47.998,-121.385,77.09,57.0,1.0,6.93
US,35.331,-79.981,84.29,78.0,1.0,5.06
US,34.439,-117.726,82.02,48.0,1.0,13.87
US,33.904,-86.397,89.02,38.0,1.0,5.82
US,44.341,-119.215,83.43,23.0,1.0,8.05
US,27.21,-98.225,89.87,55.0,20.0,13.87
US,33.713,-92.556,77.86,88.0,90.0,4.7
US,44.344,-92.388,75.85,36.0,1.0,3.36
US,24.792,-82.175,80.22,54.0,1.0,9.17
US,27.206,-79.469,77.76,83.0,40.0,3.36
US,39.947,-112.1,85.96,12.0,1.0,10.29
US,43.309,-117.645,83.68,48.0,1.0,13.87
US,48.254,-105.139,79.86,42.0,1.0,14.99
US,38.154,-99.307,89.69,59.0,1.0,12.75
US,38.875,-87.868,80.89,69.0,90.0,4.7
US,43.231,-121.378,79.66,18.0,1.0,11.41
US,36.526,-79.17,83.77,42.0,1.0,3.36
US,31.518,-94.739,92.34,52.0,1.0,8.05
US,34.512,-118.007,87.75,39.0,1.0,11.41
US,44.615,-73.361,70.65,83.0,75.0,3.36
US,32.177,-81.052,83.17,78.0,90.0,5.82
US,42.126,-109.115,80.6,15.0,1.0,23.04
US,41.268,-100.279,77.59,61.0,1.0,3.36
US,43.246,-70.917,67.59,82.0,75.0,6.93
US,47.459,-100.464,81.28,42.0,1.0,8.05
US,33.243,-93.833,94.5,32.0,1.0,6.93
US,41.999,-79.856,71.47,83.0,1.0,3.36
US,39.799,-98.914,78.51,61.0,1.0,11.41
US,45.587,-107.778,81.9,20.0,75.0,11.41
US,27.596,-95.993,88.0,74.0,20.0,16.11
US,32.874,-118.551,74.73,68.0,5.0,12.75
US,37.975,-85.051,84.16,62.0,1.0,3.36
US,41.97,-105.236,70.29,21.0,1.0,18.34
US,29.977,-90.537,90.39,47.0,1.0,10.29
US,36.722,-107.751,79.41,78.0,75.0,5.82
US,42.598,-99.328,79.81,42.0,1.0,4.7
US,32.63,-78.726,81.86,83.0,1.0,6.93
US,47.551,-101.736,83.62,26.0,1.0,16.11
US,35.013,-122.619,69.39,60.0,20.0,16.11
US,45.513,-119.795,84.11,22.0,1.0,8.05
US,41.907,-111.37,84.76,16.0,1.0,13.6
US,31.149,-80.979,80.06,78.0,1.0,12.75
US,41.928,-74.747,73.99,88.0,20.0,6.93
US,43.293,-78.297,70.23,88.0,40.0,7.07
US,31.105,-82.541,80.85,79.0,90.0,5.82
US,37.236,-101.736,98.22,25.0,1.0,6.93
US,43.764,-72.263,77.2,57.0,1.0,6.55
US,39.87,-122.668,102.63,18.0,1.0,6.93
US,34.263,-88.844,89.33,55.0,1.0,5.12
US,39.572,-92.172,79.56,78.0,1.0,4.7
US,36.231,-78.844,79.57,69.0,1.0,2.62
US,35.722,-92.937,91.26,59.0,1.0,5.82
US,29.08,-100.365,104.0,26.0,1.0,6.93
US,30.246,-100.316,103.33,24.0,1.0,12.75
US,43.715,-71.177,80.58,69.0,1.0,4.68
US,35.319,-115.663,75.43,65.0,20.0,6.93
US,39.576,-104.202,84.6,20.0,40.0,12.75
US,32.269,-95.926,85.15,45.0,1.0,1.39
US,33.724,-78.813,78.8,78.0,20.0,9.17
US,40.389,-105.189,78.1,42.0,1.0,13.87
US,35.533,-107.136,90.28,16.0,40.0,6.93
US,35.722,-81.847,79.16,57.0,40.0,4.59
US,26.345,-79.767,78.3,88.0,40.0,9.17
US,44.655,-117.837,80.33,24.0,1.0,8.05
US,36.766,-85.735,83.66,58.0,1.0,2.77
US,32.308,-105.051,75.49,68.0,20.0,9.17
US,34.759,-83.715,81.45,43.0,1.0,3.36
US,43.351,-78.957,70.57,78.0,75.0,5.32
US,47.967,-111.319,73.62,27.0,20.0,13.87
US,30.395,-86.188,89.62,52.0,1.0,5.3
US,33.981,-116.551,93.74,5.0,1.0,14.99
US,43.107,-68.4,69.93,88.0,8.0,9.17
US,45.728,-118.345,83.26,23.0,1.0,8.05
US,42.472,-119.189,89.49,13.0,1.0,18.34
US,40.071,-119.404,91.33,11.0,20.0,6.93
US,42.101,-99.528,83.93,45.0,1.0,4.7
US,28.525,-79.297,80.17,78.0,1.0,6.93
US,32.308,-92.783,92.52,41.0,1.0,3.36
US,31.919,-91.55,89.67,46.0,1.0,4.7
US,28.771,-84.082,76.24,88.0,90.0,12.75
US,47.519,-122.853,79.56,88.0,20.0,5.82
US,43.122,-105.889,82.58,18.0,1.0,17.22
US,47.259,-121.506,67.96,60.0,90.0,9.17
US,37.737,-77.091,79.86,74.0,20.0,3.36
US,41.227,-74.197,74.84,78.0,1.0,4.7
US,38.805,-99.044,88.38,55.0,1.0,10.29
US,31.097,-104.033,100.09,18.0,1.0,13.87
