Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
US,33.343,-113.703,107.04,5.0,75.0,13.87
US,37.289,-120.447,99.54,13.0,1.0,8.05
US,33.296,-79.483,78.75,88.0,1.0,5.82
US,27.768,-92.619,84.7,94.0,1.0,3.36
US,38.517,-122.202,81.09,60.0,1.0,14.99
US,37.463,-73.46,85.55,70.0,20.0,4.7
US,48.373,-104.922,74.8,57.0,75.0,3.36
US,40.694,-126.22,65.86,63.0,1.0,17.22
US,39.289,-120.325,84.85,13.0,20.0,12.75
US,47.101,-122.93,66.51,64.0,90.0,4.7
US,27.125,-97.331,87.08,62.0,1.0,17.22
US,42.919,-91.25,72.88,83.0,1.0,4.7
US,32.888,-103.387,91.17,18.0,40.0,9.17
US,44.213,-83.47,71.33,64.0,1.0,5.59
US,46.105,-118.265,82.94,20.0,1.0,6.93
US,43.047,-77.694,72.19,60.0,40.0,4.7
US,33.994,-93.64,88.9,46.0,1.0,3.36
US,43.979,-93.024,72.21,83.0,1.0,3.36
US,43.99,-88.198,68.95,83.0,75.0,3.36
US,37.155,-122.976,73.17,50.0,5.0,10.29
US,36.912,-121.22,74.89,64.0,1.0,17.22
US,44.312,-113.644,77.22,22.0,5.0,10.29
US,45.956,-86.915,65.26,93.0,90.0,2.26
US,42.878,-78.4,68.79,78.0,40.0,9.17
US,26.541,-81.186,79.41,88.0,1.0,7.25
US,43.913,-122.421,76.86,78.0,1.0,9.17
US,36.675,-88.244,85.01,23.0,1.0,5.82
US,29.527,-87.473,76.08,78.0,40.0,8.05
US,42.774,-91.551,84.99,62.0,1.0,12.75
US,33.873,-96.892,75.42,100.0,90.0,10.29
US,45.873,-87.964,65.77,93.0,90.0,5.82
US,41.916,-76.373,70.68,78.0,75.0,3.36
US,36.639,-106.959,80.06,23.0,66.0,8.46
US,43.947,-111.955,77.13,19.0,20.0,20.8
US,37.788,-75.978,79.05,78.0,75.0,8.05
US,32.401,-114.019,108.25,28.0,1.0,18.34
US,38.299,-99.336,86.43,66.0,1.0,11.41
US,40.113,-91.884,80.87,78.0,20.0,3.36
US,35.844,-120.107,99.82,14.0,1.0,5.82
US,35.823,-84.788,74.84,73.0,1.0,0.4
US,31.365,-107.01,95.0,18.0,1.0,8.05
US,36.679,-93.163,75.81,83.0,75.0,9.17
US,47.851,-97.627,76.93,57.0,1.0,5.82
US,43.322,-70.39,64.87,93.0,90.0,5.82
US,41.312,-98.888,73.98,83.0,1.0,6.93
US,44.167,-94.578,73.54,64.0,1.0,5.79
US,34.535,-93.084,70.05,63.0,40.0,4.7
US,38.56,-78.885,74.66,83.0,1.0,3.04
US,35.578,-83.538,74.68,83.0,1.0,3.94
US,38.112,-95.586,79.97,74.0,1.0,6.93
US,35.236,-89.837,74.57,73.0,1.0,5.82
US,28.233,-85.982,85.05,83.0,1.0,8.05
US,39.321,-96.113,81.93,70.0,1.0,6.6
US,37.224,-85.025,78.19,65.0,1.0,3.58
US,46.772,-112.529,72.01,25.0,20.0,13.87
US,42.042,-77.08,69.21,83.0,1.0,3.71
US,39.83,-118.514,81.84,30.0,40.0,12.75
US,33.896,-89.689,83.77,88.0,15.0,2.62
